star,species,elem,N,ul,e_stat_w_old,e_stat_w_new,e_Teff_w,e_logg_w,e_vt_w,e_MH_w,[X/H],e_XH_old,e_XH_new,[X/Fe],e_XFe_old,e_XFe_new
wukong4_150174705_lesspayne_norm_EQW_params_synt,57.1,LaII,1,1,,,,,,,-1.6,,,1.276,,
wukong4_150174705_lesspayne_norm_EQW_params_synt,63.1,EuII,1,1,,,,,,,-1.917,,,0.959,,
wukong4_150174705_lesspayne_norm_EQW_params_synt,607.0,C-N,1,1,,,,,,,-1.386,,,1.499,,
wukong5_159416852_lesspayne_norm_EQW_params_synt,11.0,NaI,2,0,0.045,0.221,0.163,-0.232,-0.029,-0.011,-1.737,0.289,0.361,0.686,0.282,0.356
wukong5_159416852_lesspayne_norm_EQW_params_synt,12.0,MgI,6,0,0.103,0.133,0.101,-0.099,-0.023,-0.012,-2.023,0.176,0.196,0.401,0.237,0.252
wukong5_159416852_lesspayne_norm_EQW_params_synt,13.0,AlI,1,0,0.0,0.438,0.15,-0.268,-0.039,-0.007,-2.561,0.31,0.536,-0.138,0.302,0.532
wukong5_159416852_lesspayne_norm_EQW_params_synt,14.0,SiI,2,0,0.313,0.358,0.144,-0.09,-0.048,-0.014,-1.748,0.359,0.399,0.675,0.377,0.416
wukong5_159416852_lesspayne_norm_EQW_params_synt,19.0,KI,1,0,0.0,0.166,0.113,-0.043,-0.029,-0.025,-1.746,0.127,0.209,0.677,0.206,0.265
wukong5_159416852_lesspayne_norm_EQW_params_synt,20.0,CaI,24,0,0.132,0.136,0.087,-0.045,-0.021,-0.016,-2.095,0.166,0.17,0.328,0.248,0.251
wukong5_159416852_lesspayne_norm_EQW_params_synt,21.1,ScII,8,0,0.228,0.254,-0.011,0.166,-0.054,0.005,-2.175,0.288,0.308,0.248,0.4,0.416
wukong5_159416852_lesspayne_norm_EQW_params_synt,22.0,TiI,35,0,0.199,0.202,0.148,-0.045,-0.018,-0.022,-2.276,0.254,0.256,0.147,0.287,0.29
wukong5_159416852_lesspayne_norm_EQW_params_synt,22.1,TiII,55,0,0.16,0.163,0.021,0.158,-0.04,0.034,-1.92,0.232,0.234,0.503,0.353,0.355
wukong5_159416852_lesspayne_norm_EQW_params_synt,23.0,VI,2,0,0.037,0.134,0.117,0.039,-0.002,-0.053,-2.724,0.139,0.19,-0.301,0.23,0.265
wukong5_159416852_lesspayne_norm_EQW_params_synt,23.1,VII,2,0,0.168,0.246,-0.03,0.186,-0.005,0.017,-2.125,0.253,0.31,0.298,0.39,0.43
wukong5_159416852_lesspayne_norm_EQW_params_synt,24.0,CrI,16,0,0.116,0.126,0.144,-0.044,-0.018,-0.021,-2.651,0.192,0.198,-0.228,0.237,0.243
wukong5_159416852_lesspayne_norm_EQW_params_synt,24.1,CrII,4,0,0.101,0.15,-0.029,0.182,-0.007,0.022,-2.406,0.212,0.239,0.017,0.364,0.381
wukong5_159416852_lesspayne_norm_EQW_params_synt,25.0,MnI,6,0,0.052,0.114,0.107,-0.046,-0.002,-0.01,-2.989,0.128,0.163,-0.566,0.216,0.239
wukong5_159416852_lesspayne_norm_EQW_params_synt,26.0,FeI,144,0,0.205,0.206,0.128,-0.048,-0.036,-0.023,-2.423,0.25,0.251,0.0,0.0,0.0
wukong5_159416852_lesspayne_norm_EQW_params_synt,26.1,FeII,23,0,0.121,0.129,-0.018,0.179,-0.029,0.033,-2.346,0.221,0.226,0.077,0.364,0.368
wukong5_159416852_lesspayne_norm_EQW_params_synt,27.0,CoI,4,0,0.141,0.181,0.16,-0.031,-0.028,-0.032,-2.55,0.22,0.247,-0.127,0.252,0.277
wukong5_159416852_lesspayne_norm_EQW_params_synt,28.0,NiI,19,0,0.1,0.108,0.112,-0.014,-0.008,-0.01,-2.541,0.152,0.157,-0.117,0.233,0.238
wukong5_159416852_lesspayne_norm_EQW_params_synt,30.0,ZnI,2,0,0.042,0.122,0.025,0.111,-0.008,0.021,-2.343,0.123,0.168,0.08,0.287,0.31
wukong5_159416852_lesspayne_norm_EQW_params_synt,38.1,SrII,2,0,0.076,0.148,0.093,0.036,-0.042,0.037,-2.352,0.138,0.187,0.071,0.244,0.276
wukong5_159416852_lesspayne_norm_EQW_params_synt,39.1,YII,3,0,0.074,0.154,0.027,0.184,-0.012,0.041,-2.616,0.205,0.245,-0.193,0.341,0.367
wukong5_159416852_lesspayne_norm_EQW_params_synt,40.1,ZrII,1,0,0.0,0.242,0.0,0.206,-0.006,0.029,-2.341,0.208,0.319,0.082,0.356,0.431
wukong5_159416852_lesspayne_norm_EQW_params_synt,56.1,BaII,4,0,0.064,0.156,0.042,0.149,-0.055,0.038,-2.598,0.18,0.23,-0.175,0.31,0.342
wukong5_159416852_lesspayne_norm_EQW_params_synt,57.1,LaII,6,0,0.145,0.174,0.025,0.167,0.001,0.044,-2.502,0.228,0.246,-0.079,0.355,0.368
wukong5_159416852_lesspayne_norm_EQW_params_synt,63.1,EuII,2,0,0.006,0.163,0.027,0.193,0.001,0.042,-2.376,0.199,0.258,0.047,0.34,0.378
wukong5_159416852_lesspayne_norm_EQW_params_synt,66.1,DyII,1,0,0.0,0.281,-0.0,0.218,0.005,0.042,-2.007,0.222,0.358,0.416,0.367,0.463
wukong5_159416852_lesspayne_norm_EQW_params_synt,106.0,C-H,2,0,0.015,0.188,0.176,-0.126,0.001,0.111,-2.775,0.244,0.307,-0.352,0.264,0.325
wukong5_159416852_lesspayne_norm_EQW_params_synt,607.0,C-N,1,0,0.0,0.407,0.24,-0.077,0.001,0.107,-1.803,0.273,0.491,0.621,0.271,0.49
wukong5_159416852_lesspayne_norm_EQW_params_synt,8.0,OI,1,1,,,,,,,-1.428,,,0.995,,
wukong6_160599956_lesspayne_norm_EQW_params_synt,11.0,NaI,2,0,0.018,0.124,0.13,-0.021,-0.018,0.003,-3.644,0.135,0.182,-0.064,0.116,0.173
wukong6_160599956_lesspayne_norm_EQW_params_synt,12.0,MgI,4,0,0.134,0.165,0.09,-0.023,-0.01,0.002,-3.156,0.163,0.19,0.424,0.187,0.214
wukong6_160599956_lesspayne_norm_EQW_params_synt,13.0,AlI,1,0,0.0,0.374,0.142,-0.001,-0.017,0.005,-4.347,0.143,0.4,-0.768,0.109,0.392
wukong6_160599956_lesspayne_norm_EQW_params_synt,14.0,SiI,1,0,0.0,0.326,0.198,-0.071,-0.054,0.008,-3.451,0.218,0.392,0.129,0.143,0.358
wukong6_160599956_lesspayne_norm_EQW_params_synt,20.0,CaI,4,0,0.149,0.173,0.099,0.01,-0.004,0.001,-3.201,0.179,0.2,0.379,0.193,0.216
wukong6_160599956_lesspayne_norm_EQW_params_synt,21.1,ScII,1,0,0.0,0.314,0.072,0.196,-0.017,0.001,-3.414,0.21,0.377,0.166,0.234,0.393
wukong6_160599956_lesspayne_norm_EQW_params_synt,22.0,TiI,2,0,0.245,0.289,0.161,0.013,-0.003,0.003,-2.998,0.293,0.331,0.582,0.268,0.312
wukong6_160599956_lesspayne_norm_EQW_params_synt,22.1,TiII,9,0,0.139,0.161,0.075,0.198,-0.016,0.005,-3.232,0.254,0.267,0.348,0.273,0.287
wukong6_160599956_lesspayne_norm_EQW_params_synt,24.0,CrI,1,0,0.0,0.213,0.149,0.008,-0.006,0.003,-3.732,0.149,0.26,-0.152,0.11,0.243
wukong6_160599956_lesspayne_norm_EQW_params_synt,25.0,MnI,1,0,0.0,0.31,0.185,0.011,-0.008,0.001,-4.196,0.185,0.361,-0.616,0.113,0.332
wukong6_160599956_lesspayne_norm_EQW_params_synt,26.0,FeI,27,0,0.108,0.115,0.155,0.006,-0.022,0.003,-3.58,0.191,0.194,0.0,0.0,0.0
wukong6_160599956_lesspayne_norm_EQW_params_synt,26.1,FeII,2,0,0.145,0.235,0.029,0.211,-0.009,0.003,-3.551,0.258,0.317,0.029,0.302,0.356
wukong6_160599956_lesspayne_norm_EQW_params_synt,28.0,NiI,1,0,0.0,0.273,0.184,-0.004,-0.06,0.004,-3.504,0.194,0.335,0.076,0.119,0.3
wukong6_160599956_lesspayne_norm_EQW_params_synt,106.0,C-H,2,0,0.046,0.254,0.267,-0.189,0.013,0.019,-3.297,0.331,0.415,0.282,0.256,0.36
wukong6_160599956_lesspayne_norm_EQW_params_synt,8.0,OI,1,1,,,,,,,0.014,,,3.594,,
wukong6_160599956_lesspayne_norm_EQW_params_synt,23.0,VI,1,1,,,,,,,-2.587,,,0.993,,
wukong6_160599956_lesspayne_norm_EQW_params_synt,27.0,CoI,1,1,,,,,,,-3.007,,,0.573,,
wukong6_160599956_lesspayne_norm_EQW_params_synt,38.1,SrII,1,1,,,,,,,-4.459,,,-0.908,,
wukong6_160599956_lesspayne_norm_EQW_params_synt,56.1,BaII,1,1,,,,,,,-4.123,,,-0.572,,
wukong6_160599956_lesspayne_norm_EQW_params_synt,63.1,EuII,1,1,,,,,,,-2.157,,,1.394,,
wukong6_160599956_lesspayne_norm_EQW_params_synt,607.0,C-N,1,1,,,,,,,-1.184,,,2.396,,
wukong7_160989833_lesspayne_norm_EQW_params_synt,11.0,NaI,2,0,0.089,0.216,0.172,-0.157,-0.049,0.006,-2.771,0.254,0.321,0.182,0.288,0.351
wukong7_160989833_lesspayne_norm_EQW_params_synt,12.0,MgI,4,0,0.028,0.115,0.1,-0.06,-0.01,0.005,-2.632,0.121,0.164,0.321,0.267,0.292
wukong7_160989833_lesspayne_norm_EQW_params_synt,13.0,AlI,1,0,0.0,0.528,0.198,-0.092,-0.057,0.008,-3.65,0.226,0.574,-0.697,0.255,0.588
wukong7_160989833_lesspayne_norm_EQW_params_synt,14.0,SiI,1,0,0.0,0.486,0.299,-0.273,-0.014,0.005,-2.378,0.405,0.633,0.576,0.359,0.605
wukong7_160989833_lesspayne_norm_EQW_params_synt,20.0,CaI,10,0,0.222,0.229,0.112,-0.02,-0.013,0.005,-2.655,0.249,0.256,0.298,0.343,0.35
wukong7_160989833_lesspayne_norm_EQW_params_synt,21.1,ScII,5,0,0.12,0.202,0.047,0.223,-0.024,-0.006,-3.043,0.259,0.306,-0.09,0.409,0.442
wukong7_160989833_lesspayne_norm_EQW_params_synt,22.0,TiI,2,0,0.141,0.227,0.184,-0.021,-0.024,0.006,-2.713,0.234,0.294,0.24,0.288,0.341
wukong7_160989833_lesspayne_norm_EQW_params_synt,22.1,TiII,13,0,0.273,0.283,0.079,0.178,-0.062,0.0,-2.686,0.341,0.349,0.267,0.445,0.453
wukong7_160989833_lesspayne_norm_EQW_params_synt,24.0,CrI,1,0,0.0,0.24,0.175,-0.025,-0.023,0.008,-3.41,0.178,0.299,-0.457,0.251,0.35
wukong7_160989833_lesspayne_norm_EQW_params_synt,25.0,MnI,1,0,0.0,0.338,0.205,-0.002,-0.007,-0.007,-3.868,0.206,0.395,-0.914,0.257,0.426
wukong7_160989833_lesspayne_norm_EQW_params_synt,26.0,FeI,48,0,0.25,0.253,0.182,-0.045,-0.04,0.006,-2.953,0.315,0.317,0.0,0.0,0.0
wukong7_160989833_lesspayne_norm_EQW_params_synt,26.1,FeII,7,0,0.289,0.306,0.023,0.213,-0.019,0.001,-3.006,0.361,0.374,-0.053,0.488,0.5
wukong7_160989833_lesspayne_norm_EQW_params_synt,27.0,CoI,2,0,0.0,0.199,0.185,-0.005,-0.005,-0.003,-3.105,0.185,0.272,-0.152,0.256,0.326
wukong7_160989833_lesspayne_norm_EQW_params_synt,28.0,NiI,1,0,0.0,0.24,0.169,-0.002,-0.019,0.007,-3.147,0.17,0.294,-0.194,0.255,0.352
wukong7_160989833_lesspayne_norm_EQW_params_synt,38.1,SrII,2,0,0.089,0.261,0.138,0.015,-0.089,-0.041,-2.655,0.192,0.311,0.299,0.284,0.377
wukong7_160989833_lesspayne_norm_EQW_params_synt,56.1,BaII,3,0,0.081,0.216,0.109,0.143,-0.067,-0.008,-2.634,0.209,0.289,0.319,0.333,0.39
wukong7_160989833_lesspayne_norm_EQW_params_synt,106.0,C-H,2,0,0.028,0.289,0.33,-0.195,0.005,0.015,-2.683,0.385,0.48,0.27,0.331,0.44
wukong7_160989833_lesspayne_norm_EQW_params_synt,8.0,OI,1,1,,,,,,,0.165,,,3.118,,
wukong7_160989833_lesspayne_norm_EQW_params_synt,23.0,VI,1,1,,,,,,,-2.164,,,0.79,,
wukong7_160989833_lesspayne_norm_EQW_params_synt,39.1,YII,1,1,,,,,,,-1.325,,,1.681,,
wukong7_160989833_lesspayne_norm_EQW_params_synt,40.1,ZrII,1,1,,,,,,,-1.829,,,1.177,,
wukong7_160989833_lesspayne_norm_EQW_params_synt,57.1,LaII,1,1,,,,,,,0.053,,,3.059,,
wukong7_160989833_lesspayne_norm_EQW_params_synt,63.1,EuII,1,1,,,,,,,-1.754,,,1.252,,
wukong7_160989833_lesspayne_norm_EQW_params_synt,607.0,C-N,1,1,,,,,,,-1.547,,,1.406,,
wukong8_161400139_lesspayne_norm_EQW_params_synt,11.0,NaI,2,0,0.016,0.193,0.14,-0.205,-0.034,0.009,-1.775,0.251,0.316,0.225,0.248,0.315
wukong8_161400139_lesspayne_norm_EQW_params_synt,12.0,MgI,6,0,0.096,0.124,0.091,-0.075,-0.015,0.004,-1.735,0.153,0.172,0.264,0.202,0.217
wukong8_161400139_lesspayne_norm_EQW_params_synt,13.0,AlI,1,0,0.0,0.43,0.18,-0.196,-0.058,0.009,-2.679,0.273,0.509,-0.679,0.252,0.498
wukong8_161400139_lesspayne_norm_EQW_params_synt,14.0,SiI,2,0,0.096,0.167,0.065,-0.012,-0.004,0.006,-1.522,0.116,0.18,0.478,0.202,0.244
wukong8_161400139_lesspayne_norm_EQW_params_synt,20.0,CaI,25,0,0.107,0.112,0.075,-0.031,-0.02,-0.001,-1.736,0.136,0.14,0.264,0.204,0.207
wukong8_161400139_lesspayne_norm_EQW_params_synt,21.1,ScII,8,0,0.127,0.168,0.015,0.193,-0.03,0.006,-1.97,0.233,0.258,0.03,0.319,0.338
wukong8_161400139_lesspayne_norm_EQW_params_synt,22.0,TiI,25,0,0.296,0.299,0.119,-0.013,-0.015,-0.006,-1.781,0.32,0.322,0.219,0.342,0.345
wukong8_161400139_lesspayne_norm_EQW_params_synt,22.1,TiII,51,0,0.173,0.176,0.047,0.164,-0.029,0.018,-1.675,0.245,0.247,0.325,0.315,0.317
wukong8_161400139_lesspayne_norm_EQW_params_synt,23.0,VI,2,0,0.043,0.123,0.066,0.07,-0.0,-0.033,-2.135,0.11,0.16,-0.135,0.208,0.239
wukong8_161400139_lesspayne_norm_EQW_params_synt,23.1,VII,2,0,0.075,0.181,0.001,0.18,0.0,0.012,-1.922,0.196,0.256,0.078,0.3,0.342
wukong8_161400139_lesspayne_norm_EQW_params_synt,24.0,CrI,13,0,0.142,0.15,0.116,-0.011,-0.012,-0.006,-2.132,0.184,0.19,-0.132,0.222,0.228
wukong8_161400139_lesspayne_norm_EQW_params_synt,24.1,CrII,5,0,0.162,0.189,-0.006,0.185,-0.007,0.009,-1.916,0.246,0.265,0.084,0.337,0.351
wukong8_161400139_lesspayne_norm_EQW_params_synt,25.0,MnI,6,0,0.051,0.112,0.075,-0.021,-0.004,-0.005,-2.467,0.093,0.137,-0.468,0.182,0.208
wukong8_161400139_lesspayne_norm_EQW_params_synt,26.0,FeI,145,0,0.169,0.17,0.109,-0.027,-0.029,-0.004,-2.0,0.205,0.206,0.0,0.0,0.0
wukong8_161400139_lesspayne_norm_EQW_params_synt,26.1,FeII,22,0,0.142,0.15,0.014,0.177,-0.032,0.018,-1.963,0.23,0.235,0.037,0.316,0.32
wukong8_161400139_lesspayne_norm_EQW_params_synt,27.0,CoI,4,0,0.068,0.123,0.116,-0.002,-0.014,-0.014,-2.012,0.136,0.17,-0.012,0.185,0.212
wukong8_161400139_lesspayne_norm_EQW_params_synt,28.0,NiI,14,0,0.18,0.186,0.088,0.0,-0.012,-0.003,-2.038,0.201,0.206,-0.039,0.25,0.255
wukong8_161400139_lesspayne_norm_EQW_params_synt,30.0,ZnI,2,0,0.107,0.155,0.051,0.09,-0.005,0.005,-2.047,0.149,0.186,-0.047,0.241,0.266
wukong8_161400139_lesspayne_norm_EQW_params_synt,38.1,SrII,2,0,0.174,0.224,0.122,0.011,-0.044,0.029,-1.896,0.219,0.261,0.103,0.249,0.286
wukong8_161400139_lesspayne_norm_EQW_params_synt,39.1,YII,3,0,0.111,0.174,0.037,0.175,-0.006,0.02,-1.985,0.212,0.25,0.015,0.297,0.326
wukong8_161400139_lesspayne_norm_EQW_params_synt,40.1,ZrII,1,0,0.0,0.233,0.039,0.196,-0.007,0.014,-1.735,0.2,0.307,0.265,0.29,0.372
wukong8_161400139_lesspayne_norm_EQW_params_synt,56.1,BaII,4,0,0.076,0.162,0.068,0.136,-0.066,0.022,-1.869,0.184,0.233,0.131,0.254,0.292
wukong8_161400139_lesspayne_norm_EQW_params_synt,57.1,LaII,3,0,0.096,0.167,0.03,0.172,-0.002,0.017,-1.876,0.2,0.242,0.124,0.291,0.322
wukong8_161400139_lesspayne_norm_EQW_params_synt,63.1,EuII,2,0,0.01,0.165,0.048,0.182,-0.006,0.013,-1.436,0.189,0.251,0.564,0.277,0.323
wukong8_161400139_lesspayne_norm_EQW_params_synt,66.1,DyII,2,0,0.027,0.174,0.026,0.175,-0.013,0.019,-1.142,0.18,0.249,0.858,0.279,0.328
wukong8_161400139_lesspayne_norm_EQW_params_synt,106.0,C-H,2,0,0.007,0.196,0.202,-0.14,0.001,0.076,-1.902,0.257,0.323,0.098,0.24,0.31
wukong8_161400139_lesspayne_norm_EQW_params_synt,607.0,C-N,1,0,0.0,0.387,0.219,-0.034,0.005,0.064,-1.654,0.231,0.451,0.346,0.216,0.443
wukong8_161400139_lesspayne_norm_EQW_params_synt,8.0,OI,1,1,,,,,,,-0.174,,,1.826,,
wukong9_163002452_lesspayne_norm_EQW_params_synt,11.0,NaI,2,0,0.059,0.215,0.154,-0.221,-0.032,-0.005,-1.789,0.278,0.346,0.257,0.258,0.331
wukong9_163002452_lesspayne_norm_EQW_params_synt,12.0,MgI,4,0,0.091,0.129,0.089,-0.068,-0.023,-0.002,-1.632,0.147,0.172,0.415,0.193,0.214
wukong9_163002452_lesspayne_norm_EQW_params_synt,13.0,AlI,1,0,0.0,0.451,0.179,-0.268,-0.033,0.031,-2.288,0.325,0.556,-0.242,0.294,0.539
wukong9_163002452_lesspayne_norm_EQW_params_synt,14.0,SiI,4,0,0.171,0.193,0.067,-0.026,-0.017,0.003,-1.38,0.186,0.207,0.666,0.243,0.26
wukong9_163002452_lesspayne_norm_EQW_params_synt,19.0,KI,2,0,0.026,0.129,0.103,-0.079,-0.044,-0.018,-1.163,0.141,0.189,0.883,0.174,0.216
wukong9_163002452_lesspayne_norm_EQW_params_synt,20.0,CaI,23,0,0.113,0.117,0.08,-0.047,-0.026,-0.003,-1.637,0.148,0.152,0.41,0.203,0.206
wukong9_163002452_lesspayne_norm_EQW_params_synt,21.1,ScII,8,0,0.235,0.261,0.007,0.184,-0.051,0.013,-1.796,0.303,0.324,0.25,0.378,0.395
wukong9_163002452_lesspayne_norm_EQW_params_synt,22.0,TiI,42,0,0.264,0.265,0.127,-0.026,-0.018,0.001,-1.696,0.294,0.296,0.351,0.312,0.314
wukong9_163002452_lesspayne_norm_EQW_params_synt,22.1,TiII,52,0,0.157,0.16,0.048,0.169,-0.034,0.032,-1.614,0.24,0.242,0.432,0.315,0.317
wukong9_163002452_lesspayne_norm_EQW_params_synt,23.0,VI,2,0,0.053,0.119,0.048,0.049,-0.004,-0.036,-2.045,0.094,0.142,0.002,0.208,0.235
wukong9_163002452_lesspayne_norm_EQW_params_synt,23.1,VII,2,0,0.148,0.224,0.0,0.188,-0.001,0.017,-1.926,0.24,0.293,0.12,0.338,0.377
wukong9_163002452_lesspayne_norm_EQW_params_synt,24.0,CrI,16,0,0.084,0.096,0.126,-0.027,-0.019,-0.0,-2.082,0.155,0.162,-0.036,0.186,0.193
wukong9_163002452_lesspayne_norm_EQW_params_synt,24.1,CrII,4,0,0.044,0.118,-0.008,0.185,-0.01,0.022,-2.003,0.192,0.221,0.043,0.306,0.326
wukong9_163002452_lesspayne_norm_EQW_params_synt,25.0,MnI,6,0,0.065,0.116,0.086,-0.031,-0.005,-0.004,-2.463,0.112,0.148,-0.417,0.182,0.206
wukong9_163002452_lesspayne_norm_EQW_params_synt,26.0,FeI,134,0,0.165,0.166,0.114,-0.036,-0.033,-0.003,-2.046,0.206,0.207,0.0,0.0,0.0
wukong9_163002452_lesspayne_norm_EQW_params_synt,26.1,FeII,25,0,0.145,0.152,0.011,0.18,-0.028,0.029,-1.995,0.234,0.239,0.051,0.326,0.33
wukong9_163002452_lesspayne_norm_EQW_params_synt,27.0,CoI,4,0,0.282,0.297,0.091,-0.0,-0.002,0.002,-1.894,0.296,0.311,0.152,0.33,0.344
wukong9_163002452_lesspayne_norm_EQW_params_synt,28.0,NiI,20,0,0.134,0.139,0.099,-0.006,-0.012,0.004,-2.012,0.167,0.171,0.034,0.216,0.22
wukong9_163002452_lesspayne_norm_EQW_params_synt,30.0,ZnI,2,0,0.063,0.131,0.043,0.105,-0.01,0.02,-1.94,0.132,0.175,0.106,0.239,0.266
wukong9_163002452_lesspayne_norm_EQW_params_synt,38.1,SrII,1,0,0.0,0.159,0.081,-0.043,-0.04,0.033,-1.746,0.105,0.191,0.3,0.172,0.235
wukong9_163002452_lesspayne_norm_EQW_params_synt,39.1,YII,3,0,0.019,0.142,0.038,0.19,-0.015,0.037,-1.987,0.198,0.244,0.059,0.294,0.326
wukong9_163002452_lesspayne_norm_EQW_params_synt,40.1,ZrII,1,0,0.0,0.272,-0.005,0.238,-0.017,0.01,-1.639,0.239,0.362,0.407,0.342,0.437
wukong9_163002452_lesspayne_norm_EQW_params_synt,56.1,BaII,4,0,0.067,0.152,0.08,0.103,-0.055,0.021,-1.797,0.158,0.209,0.249,0.231,0.269
wukong9_163002452_lesspayne_norm_EQW_params_synt,57.1,LaII,6,0,0.049,0.111,0.065,0.173,-0.002,0.043,-1.647,0.196,0.22,0.399,0.281,0.298
wukong9_163002452_lesspayne_norm_EQW_params_synt,63.1,EuII,3,0,0.01,0.148,0.084,0.176,-0.002,0.037,-1.501,0.198,0.248,0.545,0.275,0.313
wukong9_163002452_lesspayne_norm_EQW_params_synt,66.1,DyII,1,0,0.0,0.297,0.0,0.212,-0.023,-0.022,-1.102,0.215,0.366,0.944,0.32,0.437
wukong9_163002452_lesspayne_norm_EQW_params_synt,106.0,C-H,2,0,0.003,0.21,0.228,-0.124,0.007,0.099,-2.099,0.278,0.348,-0.052,0.245,0.323
wukong9_163002452_lesspayne_norm_EQW_params_synt,607.0,C-N,1,0,0.0,0.405,0.249,-0.046,0.004,0.085,-1.938,0.267,0.485,0.108,0.234,0.468
wukong9_163002452_lesspayne_norm_EQW_params_synt,8.0,OI,1,1,,,,,,,-0.34,,,1.706,,
